"Symbol","Open Interest","Open Interest","chng in OI","%chng in OI","Volume","Futures Value","Options Value","Total Value","Underlying value"
"MARUTI",135466,138268,-2802,-2.03,102140,65822.26168,7749.17901,73571.44069,12644
"COALINDIA",68196,69608,-1412,-2.03,47770,91673.70093,7458.86463,99132.56556,448
"INDIAMART",10425,10641,-216,-2.03,3698,12622.13853,194.11533,12816.25386,2665
"NAVINFLUOR",23848,24346,-498,-2.05,8066,18418.66174,399.68515,18818.3469,3240
"DABUR",32557,33282,-725,-2.18,20585,25296.09837,1446.5165,26742.61487,550
"PNB",61964,63402,-1438,-2.27,1685,9557.9064,118.6456,9676.552,124
"BAJFINANCE",184348,188666,-4318,-2.29,90213,109080.15188,8031.13091,117111.2828,6675
"BRITANNIA",27246,27962,-716,-2.56,20084,40233.97888,1888.52698,42122.50586,5066
"CANBK",88262,90722,-2460,-2.71,2968,10752.5799,213.95758,10966.53748,548
"MARICO",27269,28035,-766,-2.73,15559,18462.54792,1498.3092,19960.85712,586
"MANAPPURAM",29533,30423,-890,-2.93,21235,38907.1875,2393.01,41300.1975,174
"TVSMOTOR",35453,36523,-1070,-2.93,38925,56566.70117,4173.38176,60740.08293,2058
"BAJAJ-AUTO",38528,39777,-1249,-3.14,52781,68962.7525,8619.47343,77582.22594,8995
"BHARATFORG",35043,36559,-1516,-4.15,41058,50591.40185,5094.95045,55686.3523,1396
"TITAN",109219,114022,-4803,-4.21,50536,51920.11387,3494.83816,55414.95204,3292
"GODREJPROP",17270,18259,-989,-5.42,16503,60300.08672,2599.53017,62899.61689,2695
"LUPIN",32724,34604,-1880,-5.43,18581,26316.9007,1232.53723,27549.43793,1609
"COFORGE",68351,73202,-4851,-6.63,57512,75583.49248,6035.35351,81618.846,4461
